image_path,source_dataset,class,split,quality_flag,subject_id
images/6cb9f768-547c-4721-9d5d-5aaee563385b.jpg,mock_dataset,cover_drive,train,good,sub_3
images/bcf71263-0383-410b-b818-13d5ff8f7243.jpg,mock_dataset,cover_drive,train,good,sub_1
images/a864f425-7a0e-4093-892b-4a96d4f17fd5.jpg,mock_dataset,pull_shot,train,good,sub_2
images/c90ba363-878a-4952-abc1-9fce9bc37d9d.jpg,mock_dataset,forward_defense,test,good,sub_3
images/ecb5ee8f-f910-42d3-945b-964141e01b2c.jpg,mock_dataset,pull_shot,train,good,sub_2
images/3328ab29-dea8-4236-bde8-80dd7d82ae51.jpg,mock_dataset,pull_shot,train,good,sub_2
images/ab4df65f-b9ea-40be-83a8-912f5bce6caf.jpg,mock_dataset,pull_shot,test,good,sub_4
images/b3f5189d-6d3a-4a6e-bec6-5bebf0d9998f.jpg,mock_dataset,pull_shot,test,good,sub_3
images/1b3edd17-90ea-448f-943d-1cbed9ccae9e.jpg,mock_dataset,forward_defense,train,good,sub_1
images/054e9bf0-a57a-44e8-b3cb-d277e1e6a258.jpg,mock_dataset,forward_defense,train,good,sub_2
images/a41b441d-b382-4264-aa3e-ada694a4cada.jpg,mock_dataset,cover_drive,test,good,sub_2
images/63ba2d9d-f424-40bf-9b56-1181c2431110.jpg,mock_dataset,forward_defense,test,good,sub_2
images/158b3b79-45c5-4abf-8c87-5eddb99d76de.jpg,mock_dataset,cover_drive,train,good,sub_1
images/cd8db529-9411-4d8c-8415-ad535abc3956.jpg,mock_dataset,forward_defense,train,good,sub_1
images/3117fe17-2710-4a75-ab46-afe4b3f13d3c.jpg,mock_dataset,cover_drive,train,good,sub_2
images/82abc406-3cf9-48b0-80da-e23d60a04b97.jpg,mock_dataset,cover_drive,train,good,sub_1
images/d537ebff-bc14-4a45-a52b-ef378479feb0.jpg,mock_dataset,cover_drive,train,good,sub_1
images/53b7f7ff-25c9-4a69-8175-cb63b4188d76.jpg,mock_dataset,cover_drive,test,good,sub_2
images/762b24eb-d8b0-4251-ab39-d17019e239b9.jpg,mock_dataset,pull_shot,train,good,sub_3
images/3b53a03b-e49c-4f0e-a354-abfb89260d56.jpg,mock_dataset,forward_defense,test,good,sub_3
images/96caac25-7fb7-432f-a6c5-ab4b503f563a.jpg,mock_dataset,pull_shot,train,good,sub_4
images/e6dc4b75-f8ea-416c-b31e-5e97869a3006.jpg,mock_dataset,forward_defense,train,good,sub_1
images/6309288a-acb3-46d5-81ee-e2c16a7f00f1.jpg,mock_dataset,forward_defense,train,good,sub_1
images/c9b6b76b-b92b-4f65-b997-dc19334e6d19.jpg,mock_dataset,cover_drive,val,good,sub_4
images/6adf7181-cee2-4e2c-9742-007768580379.jpg,mock_dataset,pull_shot,test,good,sub_4
images/b7da9b03-b1bf-49aa-9533-44f9ed98fd8c.jpg,mock_dataset,forward_defense,test,good,sub_2
images/292f804f-541a-42d9-8644-8a349ba5b408.jpg,mock_dataset,pull_shot,test,good,sub_2
images/fc008a7c-1e07-4f28-becd-c632842cd4df.jpg,mock_dataset,pull_shot,test,good,sub_4
images/02bac895-22f2-4cb8-b504-c8f28cebb3e7.jpg,mock_dataset,cover_drive,val,good,sub_4
images/54256cd4-5f52-4df2-9233-efa09be4d07c.jpg,mock_dataset,cover_drive,train,good,sub_1
images/313bf0fb-82c2-4eef-ac21-45fd49585ad9.jpg,mock_dataset,pull_shot,train,good,sub_3
images/2ca0ff51-9627-4052-830a-56858fec559d.jpg,mock_dataset,forward_defense,train,good,sub_3
images/ff3b620c-9c84-48c7-a988-b2853ef993c9.jpg,mock_dataset,cover_drive,val,good,sub_2
images/3e4edb83-83e5-4b79-b9a3-039b9215470c.jpg,mock_dataset,pull_shot,train,good,sub_2
images/a5ccf6e6-9ee9-4324-b950-f305ab598971.jpg,mock_dataset,forward_defense,train,good,sub_4
images/ee5152f6-0c37-44ba-a6d9-50e0e092d3f2.jpg,mock_dataset,cover_drive,train,good,sub_2
images/e3e76450-0b5f-4d77-b6db-7e8a78c1016e.jpg,mock_dataset,forward_defense,train,good,sub_4
images/212f96a8-42f4-4508-bc01-fad61262cedb.jpg,mock_dataset,forward_defense,train,good,sub_1
images/66bce42d-e6f5-4f9b-9a52-18d2f69e46c3.jpg,mock_dataset,forward_defense,val,good,sub_4
images/c2d58a1c-bbdb-4697-b3dd-836ed36f97c7.jpg,mock_dataset,pull_shot,train,good,sub_4
images/4db11da4-68b0-46d3-aba4-6dacc03c61c3.jpg,mock_dataset,cover_drive,train,good,sub_2
images/85e05774-cc0e-4d96-ae71-5c392ea55c45.jpg,mock_dataset,pull_shot,train,good,sub_4
images/059469a3-3c48-40be-b29b-4f4f840864ed.jpg,mock_dataset,cover_drive,train,good,sub_1
images/43919188-e797-4565-a6c5-be7d6a6e5cb2.jpg,mock_dataset,forward_defense,train,good,sub_4
images/8e816599-58ec-4a38-b310-3d82a393f66f.jpg,mock_dataset,pull_shot,train,good,sub_1
images/70794add-b7d3-4240-8818-4fe4a3bd4eea.jpg,mock_dataset,pull_shot,train,good,sub_2
images/4ca02b39-a48e-4cfa-b313-7c0fd1454b16.jpg,mock_dataset,pull_shot,train,good,sub_2
images/a4fba9e8-8ae4-4754-9aa1-25f3d4d9777d.jpg,mock_dataset,pull_shot,train,good,sub_2
images/31a680f4-2115-4836-9e7e-1bbe0df16979.jpg,mock_dataset,pull_shot,test,good,sub_4
images/09017399-83a1-4768-96c0-adb0682985f7.jpg,mock_dataset,forward_defense,test,good,sub_1
